C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.21] z[1.05] mag[1.07]7500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.05] mag[1.08]8000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.17] z[1.07] mag[1.08]8500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.20] z[1.05] mag[1.07]9000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]9500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.19] z[1.06] mag[1.08]10000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.19] z[1.05] mag[1.07]10500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.16] z[1.05] mag[1.07]11000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.21] z[1.07] mag[1.10]11500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.17] z[1.08] mag[1.09]12000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.19] z[1.06] mag[1.08]12500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.18] z[1.06] mag[1.08]13000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.15] z[1.08] mag[1.09]13500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.05] mag[1.08]14000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.18] z[1.05] mag[1.07]14500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.19] z[1.06] mag[1.08]15000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.21] z[1.07] mag[1.09]15500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.19] z[1.05] mag[1.07]16000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.21] z[1.06] mag[1.09]16500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.08] mag[1.10]17000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.18] z[1.06] mag[1.08]17500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.06] mag[1.08]18000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.21] z[1.06] mag[1.09]18500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.20] z[1.06] mag[1.08]19000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.05] mag[1.07]19500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.17] z[1.05] mag[1.07]20000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.11] y[0.19] z[1.07] mag[1.09]20500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.19] z[1.08] mag[1.10]21000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.07] mag[1.09]21500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.17] z[1.05] mag[1.07]22000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.16] z[1.08] mag[1.09]22500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.06] mag[1.08]23000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.18] z[1.05] mag[1.07]23500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.16] z[1.15] mag[1.17]24000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.22] z[1.07] mag[1.10]24500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.19] z[1.05] mag[1.07]25000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.11] y[0.17] z[1.09] mag[1.11]25500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.19] z[1.06] mag[1.08]26000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.18] z[1.07] mag[1.08]26500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.11] z[1.09] mag[1.10]27000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.19] z[1.09] mag[1.11]27500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.21] z[1.05] mag[1.08]28000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.22] z[1.04] mag[1.07]28500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.21] z[1.03] mag[1.06]29000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.19] z[1.06] mag[1.08]29500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.17] z[1.07] mag[1.09]30000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.21] z[1.06] mag[1.08]30500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.23] z[1.06] mag[1.09]31000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.06] mag[1.08]31500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.06] mag[1.08]32000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]32500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.17] z[1.07] mag[1.08]33000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.17] z[1.06] mag[1.07]33500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.21] z[1.07] mag[1.10]34000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.17] z[1.07] mag[1.08]34500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.20] z[1.08] mag[1.10]35000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.18] z[1.11] mag[1.12]35500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.06] mag[1.08]36000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.14] z[1.06] mag[1.07]36500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.15] z[1.07] mag[1.08]37000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.17] z[1.11] mag[1.12]37500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]38000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.05] mag[1.07]38500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.17] z[1.07] mag[1.08]39000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.15] z[1.07] mag[1.08]39500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.18] z[1.05] mag[1.07]40000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.17] z[1.06] mag[1.08]40500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.19] z[1.06] mag[1.08]41000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.22] z[1.06] mag[1.09]41500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.04] y[0.19] z[1.08] mag[1.10]42000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.17] z[1.04] mag[1.06]42500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.17] z[1.04] mag[1.06]43000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.19] z[1.06] mag[1.08]43500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.08] mag[1.10]44000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.08] mag[1.10]44500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.06] mag[1.08]45000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.19] z[1.05] mag[1.07]45500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.17] z[1.04] mag[1.06]46000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.19] z[1.05] mag[1.07]46500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.05] mag[1.08]47000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.18] z[1.06] mag[1.08]47500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.18] z[1.04] mag[1.05]48000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.20] z[1.06] mag[1.08]48500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.13] z[1.09] mag[1.10]49000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.20] z[1.05] mag[1.07]49500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.04] y[0.13] z[1.06] mag[1.07]50000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.21] z[1.05] mag[1.08]50500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.19] z[1.06] mag[1.08]51000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.39] z[1.01] mag[1.08]51500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.21] z[1.06] mag[1.08]52000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.16] z[1.07] mag[1.08]52500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.22] z[1.07] mag[1.09]53000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.19] z[1.06] mag[1.08]53500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.19] z[1.07] mag[1.09]54000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.19] z[1.06] mag[1.08]54500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.19] z[1.07] mag[1.09]55000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.21] z[1.06] mag[1.08]55500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.14] z[1.11] mag[1.12]56000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.18] z[1.07] mag[1.09]56500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.04] y[0.19] z[1.14] mag[1.16]57000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.14] z[1.10] mag[1.11]57500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.06] mag[1.09]58000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.21] z[1.05] mag[1.07]58500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.19] z[1.03] mag[1.05]59000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.19] z[1.05] mag[1.06]59500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.18] z[1.06] mag[1.08]60000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.13] y[0.11] z[1.05] mag[1.07]60500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.07] mag[1.09]61000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.19] z[1.07] mag[1.09]61500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.06] mag[1.08]62000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.06] mag[1.08]62500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.22] z[1.10] mag[1.12]63000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.21] z[1.07] mag[1.09]63500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.19] z[1.06] mag[1.08]64000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.19] z[1.07] mag[1.09]64500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.11] y[0.19] z[1.05] mag[1.07]65000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.06] mag[1.09]65500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.06] mag[1.08]66000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.17] z[1.06] mag[1.07]66500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.19] z[1.05] mag[1.07]67000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]67500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]68000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]68500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]69000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]69500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]70000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]70500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]71000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]71500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]72000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]72500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]73000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]73500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]74000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]74500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]75000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]75500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]76000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]76500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]77000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]77500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]78000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]78500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]79000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]79500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]80000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]80500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]81000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]81500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]82000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]82500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]83000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]83500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]84000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]84500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]85000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]85500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]86000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]86500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]87000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]87500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]88000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]88500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]89000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]89500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]90000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]90500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]91000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]91500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]92000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]92500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]93000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]93500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]94000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]94500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]95000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]95500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]96000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]96500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]97000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]97500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]98000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]98500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]99000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]99500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]100000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]100500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]101000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]101500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
