x[0.18] y[2.43] z[12.31] mag[12.55] 7921501ms, 1870.00RPM, 14.75avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.18] y[0.93] z[4.17] mag[4.27] 7929001ms, 1150.00RPM, 23.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.17] y[0.84] z[3.98] mag[4.07] 7929501ms, 1110.00RPM, 23.47avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.80] z[3.74] mag[3.83] 7930001ms, 1075.00RPM, 23.86avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.75] z[3.53] mag[3.61] 7930501ms, 1040.00RPM, 24.24avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.18] y[0.72] z[3.25] mag[3.33] 7931001ms, 1005.00RPM, 24.60avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.18] y[0.67] z[3.05] mag[3.13] 7931501ms, 965.00RPM, 24.95avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.67] z[2.93] mag[3.01] 7932001ms, 925.00RPM, 25.28avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.17] y[0.62] z[2.73] mag[2.80] 7932502ms, 900.00RPM, 25.61avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.12] y[0.59] z[2.62] mag[2.69] 7933001ms, 860.00RPM, 25.92avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.56] z[2.53] mag[2.59] 7933501ms, 835.00RPM, 26.22avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.57] z[2.32] mag[2.40] 7934001ms, 800.00RPM, 26.50avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.54] z[2.14] mag[2.21] 7934501ms, 770.00RPM, 26.78avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.51] z[2.01] mag[2.08] 7935001ms, 750.00RPM, 27.05avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.17] y[0.49] z[2.00] mag[2.06] 7935501ms, 725.00RPM, 27.30avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.12] y[0.52] z[1.80] mag[1.88] 7936001ms, 695.00RPM, 27.55avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.15] y[0.39] z[1.68] mag[1.73] 7936501ms, 670.00RPM, 27.79avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.12] y[0.46] z[1.70] mag[1.76] 7937001ms, 645.00RPM, 28.02avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.45] z[1.61] mag[1.67] 7937501ms, 620.00RPM, 28.23avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.45] z[1.51] mag[1.58] 7938001ms, 600.00RPM, 28.44avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.48] z[1.48] mag[1.57] 7938501ms, 570.00RPM, 28.64avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.22] y[0.37] z[1.35] mag[1.41] 7939001ms, 550.00RPM, 28.84avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.43] z[1.35] mag[1.43] 7939501ms, 525.00RPM, 29.02avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.42] z[1.31] mag[1.38] 7940001ms, 505.00RPM, 29.19avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.42] z[1.27] mag[1.35] 7940501ms, 480.00RPM, 29.36avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.40] z[1.26] mag[1.33] 7941001ms, 460.00RPM, 29.52avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.37] z[1.24] mag[1.30] 7941501ms, 435.00RPM, 29.67avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.42] z[1.19] mag[1.27] 7942001ms, 415.00RPM, 29.81avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.37] z[1.16] mag[1.23] 7942501ms, 395.00RPM, 29.94avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.36] z[1.17] mag[1.23] 7943001ms, 375.00RPM, 30.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.39] z[1.15] mag[1.22] 7943501ms, 350.00RPM, 30.19avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.12] y[0.40] z[1.12] mag[1.19] 7944001ms, 330.00RPM, 30.30avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.38] z[1.14] mag[1.21] 7944501ms, 310.00RPM, 30.40avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.12] y[0.36] z[1.14] mag[1.21] 7945001ms, 290.00RPM, 30.50avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.11] y[0.41] z[1.09] mag[1.17] 7945501ms, 270.00RPM, 30.59avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.10] y[0.37] z[1.12] mag[1.18] 7946001ms, 245.00RPM, 30.66avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.10] y[0.37] z[1.11] mag[1.18] 7946501ms, 230.00RPM, 30.74avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.37] z[1.09] mag[1.15] 7947001ms, 205.00RPM, 30.80avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.38] z[1.11] mag[1.18] 7947501ms, 185.00RPM, 30.86avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.10] y[0.35] z[1.12] mag[1.18] 7948001ms, 165.00RPM, 30.91avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.15] y[0.38] z[1.11] mag[1.18] 7948502ms, 140.00RPM, 30.95avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.09] y[0.35] z[1.17] mag[1.22] 7949001ms, 125.00RPM, 30.98avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.36] z[1.12] mag[1.19] 7949501ms, 105.00RPM, 31.01avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.32] z[1.06] mag[1.11] 7950001ms, 85.00RPM, 31.03avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.12] y[0.32] z[1.14] mag[1.19] 7950501ms, 60.00RPM, 31.04avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.39] z[1.11] mag[1.18] 7951001ms, 45.00RPM, 31.04avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.39] z[1.12] mag[1.19] 7951501ms, 25.00RPM, 31.04avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.37] z[1.14] mag[1.21] 7952001ms, 5.00RPM, 31.03avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.36] z[1.13] mag[1.19] 7952501ms, 0.00RPM, 31.02avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.39] z[1.09] mag[1.17] 7953001ms, 0.00RPM, 31.01avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.09] y[0.41] z[1.11] mag[1.19] 7953501ms, 0.00RPM, 31.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.38] z[1.12] mag[1.19] 7954001ms, 0.00RPM, 30.99avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.37] z[1.10] mag[1.17] 7954501ms, 0.00RPM, 30.98avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.37] z[1.13] mag[1.19] 7955001ms, 0.00RPM, 30.96avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.10] y[0.36] z[1.11] mag[1.17] 7955501ms, 0.00RPM, 30.95avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.36] z[1.13] mag[1.19] 7956001ms, 0.00RPM, 30.94avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.10] y[0.38] z[1.09] mag[1.16] 7956501ms, 0.00RPM, 30.93avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.39] z[1.06] mag[1.13] 7957001ms, 0.00RPM, 30.92avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.40] z[1.08] mag[1.16] 7957501ms, 0.00RPM, 30.91avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.36] z[1.13] mag[1.19] 7958001ms, 0.00RPM, 30.90avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.34] z[1.14] mag[1.19] 7958501ms, 0.00RPM, 30.89avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.34] z[1.13] mag[1.19] 7959001ms, 0.00RPM, 30.87avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.19] y[0.36] z[1.06] mag[1.14] 7959501ms, 0.00RPM, 30.86avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.39] z[1.07] mag[1.15] 7960001ms, 0.00RPM, 30.85avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.09] y[0.40] z[1.09] mag[1.16] 7960501ms, 0.00RPM, 30.84avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.37] z[1.08] mag[1.14] 7961001ms, 0.00RPM, 30.83avgRPM, 0.00V MTR_ENA NOT BRAKING
x[-0.00] y[0.33] z[1.14] mag[1.19] 7961501ms, 0.00RPM, 30.82avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.38] z[1.12] mag[1.19] 7962001ms, 0.00RPM, 30.81avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.29] z[1.14] mag[1.18] 7962501ms, 0.00RPM, 30.80avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.38] z[1.09] mag[1.16] 7963001ms, 0.00RPM, 30.78avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.09] y[0.38] z[1.06] mag[1.13] 7963501ms, 0.00RPM, 30.77avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.38] z[1.08] mag[1.14] 7964001ms, 0.00RPM, 30.76avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.11] y[0.40] z[1.09] mag[1.17] 7964502ms, 0.00RPM, 30.75avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.37] z[1.12] mag[1.18] 7965001ms, 0.00RPM, 30.74avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.05] y[0.29] z[1.12] mag[1.16] 7965501ms, 0.00RPM, 30.73avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.30] z[1.07] mag[1.12] 7966001ms, 0.00RPM, 30.72avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.36] z[1.08] mag[1.14] 7966501ms, 0.00RPM, 30.71avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.11] y[0.42] z[1.06] mag[1.15] 7967001ms, 0.00RPM, 30.70avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.37] z[1.13] mag[1.19] 7967501ms, 0.00RPM, 30.68avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.36] z[1.12] mag[1.18] 7968001ms, 0.00RPM, 30.67avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.17] y[0.36] z[1.07] mag[1.14] 7968501ms, 0.00RPM, 30.66avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.10] y[0.36] z[1.08] mag[1.14] 7969001ms, 0.00RPM, 30.65avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.11] y[0.37] z[1.08] mag[1.15] 7969501ms, 0.00RPM, 30.64avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.10] y[0.38] z[1.07] mag[1.14] 7970001ms, 0.00RPM, 30.63avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.05] y[0.35] z[1.11] mag[1.16] 7970501ms, 0.00RPM, 30.62avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.05] y[0.37] z[1.15] mag[1.21] 7971001ms, 0.00RPM, 30.61avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.13] y[0.35] z[1.09] mag[1.15] 7971501ms, 0.00RPM, 30.60avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.12] y[0.42] z[1.08] mag[1.17] 7972001ms, 0.00RPM, 30.58avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.14] y[0.35] z[1.05] mag[1.12] 7972501ms, 0.00RPM, 30.57avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.37] z[1.06] mag[1.13] 7973001ms, 0.00RPM, 30.56avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.09] y[0.42] z[1.09] mag[1.17] 7973501ms, 0.00RPM, 30.55avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.38] z[1.14] mag[1.21] 7974001ms, 0.00RPM, 30.54avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.09] y[0.36] z[1.10] mag[1.16] 7974501ms, 0.00RPM, 30.53avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.11] y[0.36] z[1.12] mag[1.18] 7975001ms, 0.00RPM, 30.52avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.16] y[0.35] z[1.10] mag[1.17] 7975501ms, 0.00RPM, 30.51avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.12] y[0.37] z[1.08] mag[1.15] 7976001ms, 0.00RPM, 30.50avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.36] z[1.12] mag[1.18] 7976501ms, 0.00RPM, 30.49avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.38] z[1.09] mag[1.16] 7977001ms, 0.00RPM, 30.48avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.39] z[1.09] mag[1.16] 7977501ms, 0.00RPM, 30.46avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.37] z[1.09] mag[1.15] 7978001ms, 0.00RPM, 30.45avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.39] z[1.09] mag[1.16] 7978501ms, 0.00RPM, 30.44avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.27] z[1.09] mag[1.13] 7979001ms, 0.00RPM, 30.43avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.11] y[0.37] z[1.11] mag[1.17] 7979501ms, 0.00RPM, 30.42avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.38] z[1.09] mag[1.16] 7980001ms, 0.00RPM, 30.41avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.39] z[1.09] mag[1.16] 7980502ms, 0.00RPM, 30.40avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.39] z[1.11] mag[1.18] 7981001ms, 0.00RPM, 30.39avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.41] z[1.08] mag[1.16] 7981501ms, 0.00RPM, 30.38avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.38] z[1.10] mag[1.17] 7982001ms, 0.00RPM, 30.37avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.11] y[0.39] z[1.10] mag[1.18] 7982501ms, 0.00RPM, 30.36avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.37] z[1.08] mag[1.15] 7983001ms, 0.00RPM, 30.34avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.37] z[1.12] mag[1.18] 7983501ms, 0.00RPM, 30.33avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.07] y[0.36] z[1.15] mag[1.21] 7984001ms, 0.00RPM, 30.32avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.09] y[0.38] z[1.10] mag[1.17] 7984501ms, 0.00RPM, 30.31avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.11] y[0.38] z[1.11] mag[1.18] 7985001ms, 0.00RPM, 30.30avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.40] z[1.08] mag[1.16] 7985501ms, 0.00RPM, 30.29avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.36] z[1.11] mag[1.17] 7986001ms, 0.00RPM, 30.28avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.39] z[1.09] mag[1.16] 7986501ms, 0.00RPM, 30.27avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.10] y[0.36] z[1.10] mag[1.16] 7987001ms, 0.00RPM, 30.26avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.37] z[1.11] mag[1.17] 7987501ms, 0.00RPM, 30.25avgRPM, 0.00V MTR_DIS YES BRAKING
