x[0.46] y[2.06] z[7.87] mag[8.15] 113001ms, 1690.00RPM, 500.55avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.15] y[0.82] z[3.76] mag[3.85] 123501ms, 1100.00RPM, 585.02avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.15] y[0.78] z[3.62] mag[3.70] 124001ms, 1060.00RPM, 586.94avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.13] y[0.73] z[3.29] mag[3.37] 124502ms, 1020.00RPM, 588.67avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.10] y[0.69] z[3.07] mag[3.15] 125001ms, 985.00RPM, 590.26avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.16] y[0.66] z[2.88] mag[2.96] 125501ms, 940.00RPM, 591.65avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.12] y[0.64] z[2.74] mag[2.81] 126001ms, 900.00RPM, 592.88avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.07] y[0.58] z[2.60] mag[2.66] 126501ms, 875.00RPM, 593.99avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.05] y[0.56] z[2.43] mag[2.49] 127001ms, 835.00RPM, 594.94avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.13] y[0.55] z[2.20] mag[2.27] 127501ms, 795.00RPM, 595.73avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.09] y[0.54] z[2.09] mag[2.16] 128001ms, 770.00RPM, 596.41avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.07] y[0.48] z[1.87] mag[1.93] 128501ms, 745.00RPM, 596.98avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.09] y[0.46] z[1.76] mag[1.82] 129001ms, 705.00RPM, 597.40avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.10] y[0.47] z[1.70] mag[1.76] 129501ms, 680.00RPM, 597.72avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.12] y[0.43] z[1.61] mag[1.67] 130001ms, 650.00RPM, 597.92avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.09] y[0.46] z[1.52] mag[1.59] 130501ms, 620.00RPM, 598.01avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.06] y[0.42] z[1.47] mag[1.53] 131001ms, 590.00RPM, 597.98avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.09] y[0.37] z[1.35] mag[1.40] 131501ms, 565.00RPM, 597.85avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.06] y[0.37] z[1.34] mag[1.39] 132001ms, 535.00RPM, 597.61avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.09] y[0.41] z[1.24] mag[1.31] 132501ms, 510.00RPM, 597.28avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.12] y[0.34] z[1.26] mag[1.31] 133001ms, 480.00RPM, 596.84avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.05] y[0.37] z[1.18] mag[1.24] 133501ms, 460.00RPM, 596.33avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.07] y[0.35] z[1.15] mag[1.20] 134001ms, 430.00RPM, 595.71avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.05] y[0.35] z[1.12] mag[1.17] 134501ms, 405.00RPM, 595.00avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.09] y[0.33] z[1.09] mag[1.14] 135001ms, 375.00RPM, 594.19avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.10] y[0.31] z[1.11] mag[1.16] 135501ms, 350.00RPM, 593.28avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.09] y[0.37] z[1.07] mag[1.14] 136001ms, 325.00RPM, 592.30avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.11] y[0.35] z[1.07] mag[1.13] 136501ms, 300.00RPM, 591.23avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.07] y[0.33] z[1.07] mag[1.12] 137001ms, 275.00RPM, 590.07avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.06] y[0.37] z[1.07] mag[1.13] 137501ms, 245.00RPM, 588.82avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.03] y[0.33] z[1.07] mag[1.12] 138001ms, 220.00RPM, 587.48avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.04] y[0.33] z[1.07] mag[1.12] 138501ms, 195.00RPM, 586.07avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.02] y[0.34] z[1.06] mag[1.11] 139001ms, 165.00RPM, 584.55avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.03] y[0.34] z[1.07] mag[1.12] 139501ms, 140.00RPM, 582.96avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.04] y[0.31] z[1.04] mag[1.09] 140001ms, 115.00RPM, 581.29avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.08] y[0.34] z[1.06] mag[1.12] 140502ms, 85.00RPM, 579.52avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.02] y[0.36] z[1.05] mag[1.11] 141001ms, 60.00RPM, 577.68avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.06] y[0.33] z[1.07] mag[1.12] 141501ms, 30.00RPM, 575.74avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.02] y[0.35] z[1.05] mag[1.10] 142001ms, 10.00RPM, 573.75avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.02] y[0.36] z[1.07] mag[1.13] 142501ms, 0.00RPM, 571.74avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.04] y[0.34] z[1.04] mag[1.10] 143001ms, 0.00RPM, 569.74avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.01] y[0.34] z[1.06] mag[1.11] 143501ms, 0.00RPM, 567.75avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.01] y[0.36] z[1.05] mag[1.11] 144001ms, 0.00RPM, 565.78avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.04] y[0.35] z[1.07] mag[1.13] 144501ms, 0.00RPM, 563.82avgRPM, 1.67V MTR_DIS NOT BRAKING
