C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 5.00RPM, 5.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.05] mag[1.11] 6.80 degrees
8000ms, 0.00RPM, 0.31avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.32] z[1.07] mag[1.12] 10.11 degrees
8500ms, 0.00RPM, 0.29avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.37] z[1.04] mag[1.11] 5.78 degrees
9000ms, 0.00RPM, 0.28avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.35] z[1.05] mag[1.10] 6.53 degrees
9500ms, 0.00RPM, 0.26avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.38] z[1.04] mag[1.11] 5.69 degrees
10000ms, 0.00RPM, 0.25avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.37] z[1.05] mag[1.12] 7.01 degrees
10500ms, 0.00RPM, 0.24avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.35] z[1.06] mag[1.12] 7.89 degrees
11000ms, 0.00RPM, 0.23avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.33] z[1.04] mag[1.10] 6.54 degrees
11500ms, 0.00RPM, 0.22avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.37] z[1.04] mag[1.11] 5.83 degrees
12000ms, 0.00RPM, 0.21avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.04] mag[1.10] 5.62 degrees
12500ms, 0.00RPM, 0.20avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.42] z[1.06] mag[1.15] 7.52 degrees
13000ms, 0.00RPM, 0.19avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.05] mag[1.11] 6.22 degrees
13500ms, 0.00RPM, 0.19avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.34] z[1.06] mag[1.12] 8.49 degrees
14000ms, 0.00RPM, 0.18avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.39] z[1.07] mag[1.14] 8.64 degrees
14500ms, 0.00RPM, 0.17avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.35] z[1.07] mag[1.12] 9.33 degrees
15000ms, 0.00RPM, 0.17avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.00] y[0.35] z[1.06] mag[1.12] 8.36 degrees
15500ms, 0.00RPM, 0.16avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.38] z[1.06] mag[1.13] 7.84 degrees
16000ms, 0.00RPM, 0.16avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.35] z[1.05] mag[1.11] 7.27 degrees
16500ms, 0.00RPM, 0.15avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.05] mag[1.11] 6.32 degrees
17000ms, 0.00RPM, 0.15avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.39] z[1.04] mag[1.11] 5.12 degrees
17500ms, 0.00RPM, 0.14avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.37] z[1.06] mag[1.13] 8.36 degrees
18000ms, 0.00RPM, 0.14avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.07] mag[1.13] 9.20 degrees
18500ms, 0.00RPM, 0.14avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.36] z[1.04] mag[1.10] 5.98 degrees
19000ms, 0.00RPM, 0.13avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.37] z[1.05] mag[1.12] 6.93 degrees
19500ms, 0.00RPM, 0.13avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.36] z[1.04] mag[1.10] 4.94 degrees
20000ms, 0.00RPM, 0.13avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.38] z[1.06] mag[1.12] 7.28 degrees
20500ms, 0.00RPM, 0.12avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.39] z[1.06] mag[1.13] 7.70 degrees
21000ms, 0.00RPM, 0.12avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.38] z[1.04] mag[1.11] 5.27 degrees
21500ms, 0.00RPM, 0.12avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.40] z[1.05] mag[1.12] 6.18 degrees
22000ms, 0.00RPM, 0.11avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.37] z[1.05] mag[1.12] 7.01 degrees
22500ms, 0.00RPM, 0.11avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.35] z[1.04] mag[1.10] 5.81 degrees
23000ms, 0.00RPM, 0.11avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.35] z[1.04] mag[1.10] 6.06 degrees
23500ms, 0.00RPM, 0.11avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.06] mag[1.12] 7.96 degrees
24000ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.31] z[1.08] mag[1.12] 10.89 degrees
24500ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.37] z[1.06] mag[1.12] 7.62 degrees
25000ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.06] mag[1.12] 7.92 degrees
25500ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.05] mag[1.11] 6.30 degrees
26000ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.36] z[1.04] mag[1.11] 6.17 degrees
26500ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.05] mag[1.12] 7.18 degrees
27000ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.00] y[0.39] z[1.06] mag[1.13] 7.09 degrees
27500ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.30] z[1.06] mag[1.10] 9.01 degrees
28000ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.00] y[0.30] z[1.11] mag[1.15] 14.84 degrees
28500ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.05] mag[1.12] 6.95 degrees
29000ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.38] z[1.05] mag[1.12] 6.99 degrees
29500ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.06] mag[1.12] 7.89 degrees
30000ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.37] z[1.05] mag[1.11] 6.35 degrees
30500ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.39] z[1.05] mag[1.12] 6.08 degrees
31000ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.35] z[1.05] mag[1.11] 7.30 degrees
31500ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.33] z[1.10] mag[1.15] 12.56 degrees
32000ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.04] mag[1.11] 6.09 degrees
32500ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.33] z[1.09] mag[1.14] 12.01 degrees
33000ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.04] mag[1.11] 6.17 degrees
33500ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.42] z[1.05] mag[1.13] 6.30 degrees
34000ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.36] z[1.07] mag[1.13] 8.88 degrees
34500ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.35] z[1.01] mag[1.07] 2.13 degrees
35000ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.02] y[0.38] z[1.06] mag[1.13] 8.14 degrees
35500ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.02] y[0.30] z[1.12] mag[1.15] 14.98 degrees
36000ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.40] z[1.10] mag[1.17] 11.31 degrees
36500ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.36] z[1.04] mag[1.10] 5.98 degrees
37000ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.38] z[1.04] mag[1.11] 5.69 degrees
37500ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.38] z[1.04] mag[1.10] 5.01 degrees
38000ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.06] mag[1.12] 7.46 degrees
38500ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.06] y[0.32] z[1.07] mag[1.12] 9.96 degrees
39000ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.36] z[1.03] mag[1.09] 4.75 degrees
39500ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.04] mag[1.11] 5.86 degrees
40000ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.34] z[1.05] mag[1.11] 7.62 degrees
40500ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.02] y[0.37] z[1.04] mag[1.11] 6.12 degrees
41000ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.05] mag[1.11] 6.43 degrees
41500ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.34] z[1.05] mag[1.10] 6.91 degrees
42000ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.37] z[1.06] mag[1.12] 7.56 degrees
42500ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.06] mag[1.13] 8.26 degrees
43000ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.06] y[0.28] z[1.11] mag[1.14] 14.43 degrees
43500ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.35] z[1.06] mag[1.12] 8.17 degrees
44000ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.07] mag[1.13] 8.88 degrees
44500ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.37] z[1.05] mag[1.12] 6.70 degrees
45000ms, 0.00RPM, 0.06avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.36] z[1.04] mag[1.11] 6.17 degrees
45500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.37] z[1.05] mag[1.11] 6.22 degrees
46000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.41] z[1.07] mag[1.14] 8.14 degrees
46500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.06] mag[1.12] 7.83 degrees
47000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.02] y[0.37] z[1.09] mag[1.15] 10.77 degrees
47500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.35] z[1.07] mag[1.12] 8.80 degrees
48000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.00] y[0.37] z[1.05] mag[1.11] 6.76 degrees
48500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.37] z[1.06] mag[1.12] 7.46 degrees
49000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.36] z[1.04] mag[1.10] 5.00 degrees
49500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.05] y[0.35] z[1.08] mag[1.14] 10.48 degrees
50000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.04] y[0.34] z[1.04] mag[1.09] 5.51 degrees
50500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.38] z[1.07] mag[1.13] 8.80 degrees
51000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.31] z[1.07] mag[1.11] 9.78 degrees
51500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.38] z[1.03] mag[1.10] 4.00 degrees
52000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.37] z[1.04] mag[1.11] 6.04 degrees
52500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.05] mag[1.12] 6.68 degrees
53000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.36] z[1.05] mag[1.11] 7.35 degrees
53500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.37] z[1.04] mag[1.11] 6.12 degrees
54000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.05] mag[1.11] 6.35 degrees
54500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.00] y[0.37] z[1.03] mag[1.09] 4.09 degrees
55000ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.39] z[1.04] mag[1.11] 5.35 degrees
55500ms, 0.00RPM, 0.05avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.36] z[1.04] mag[1.10] 5.93 degrees
56000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.04] y[0.34] z[1.07] mag[1.12] 9.30 degrees
56500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.35] z[1.05] mag[1.11] 7.09 degrees
57000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.04] mag[1.10] 5.69 degrees
57500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.39] z[1.03] mag[1.10] 4.21 degrees
58000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.06] mag[1.12] 8.30 degrees
58500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.05] mag[1.11] 6.53 degrees
59000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.05] mag[1.11] 7.04 degrees
59500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.38] z[1.04] mag[1.11] 5.50 degrees
60000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.38] z[1.04] mag[1.11] 5.74 degrees
60500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.35] z[1.06] mag[1.12] 8.17 degrees
61000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.35] z[1.04] mag[1.10] 5.84 degrees
61500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.03] mag[1.10] 4.59 degrees
62000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.36] z[1.05] mag[1.11] 6.48 degrees
62500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.09] y[0.39] z[1.06] mag[1.13] 7.78 degrees
63000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.05] mag[1.11] 6.40 degrees
63500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.37] z[1.05] mag[1.12] 6.95 degrees
64000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.04] mag[1.11] 6.02 degrees
64500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.37] z[1.04] mag[1.10] 5.36 degrees
65000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.38] z[1.06] mag[1.12] 7.28 degrees
65500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.38] z[1.07] mag[1.13] 8.35 degrees
66000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.05] mag[1.11] 6.32 degrees
66500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.38] z[1.09] mag[1.16] 10.64 degrees
67000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.39] z[1.07] mag[1.14] 8.75 degrees
67500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.38] z[1.09] mag[1.15] 10.52 degrees
68000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.36] z[1.04] mag[1.10] 6.22 degrees
68500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.10] mag[1.15] 11.93 degrees
69000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.37] z[1.05] mag[1.12] 7.12 degrees
69500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.06] mag[1.12] 7.37 degrees
70000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.05] y[0.33] z[1.07] mag[1.12] 9.26 degrees
70500ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.05] mag[1.11] 6.38 degrees
71000ms, 0.00RPM, 0.04avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.06] mag[1.12] 8.42 degrees
71500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.35] z[1.04] mag[1.10] 5.86 degrees
72000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.35] z[1.07] mag[1.13] 9.26 degrees
72500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.33] z[1.04] mag[1.09] 5.30 degrees
73000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.38] z[1.05] mag[1.12] 6.12 degrees
73500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.37] z[1.05] mag[1.12] 6.93 degrees
74000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.34] z[1.07] mag[1.13] 9.80 degrees
74500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.39] z[1.04] mag[1.11] 4.89 degrees
75000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.06] mag[1.12] 8.27 degrees
75500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.35] z[1.05] mag[1.11] 7.24 degrees
76000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.36] z[1.06] mag[1.12] 8.45 degrees
76500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.35] z[1.06] mag[1.12] 7.92 degrees
77000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.00] y[0.36] z[1.06] mag[1.12] 8.24 degrees
77500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.06] mag[1.12] 7.92 degrees
78000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.33] z[1.06] mag[1.11] 8.34 degrees
78500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.37] z[1.04] mag[1.11] 6.04 degrees
79000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.36] z[1.04] mag[1.10] 5.27 degrees
79500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.36] z[1.03] mag[1.09] 4.18 degrees
80000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.40] z[1.05] mag[1.12] 5.96 degrees
80500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.36] z[1.06] mag[1.12] 8.42 degrees
81000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.39] z[1.05] mag[1.12] 6.05 degrees
81500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.01] y[0.26] z[1.05] mag[1.08] 8.53 degrees
82000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.39] z[1.05] mag[1.13] 6.88 degrees
82500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.02] y[0.37] z[1.04] mag[1.10] 4.81 degrees
83000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.37] z[1.12] mag[1.18] 13.94 degrees
83500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.38] z[1.05] mag[1.12] 7.01 degrees
84000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.37] z[1.05] mag[1.11] 6.27 degrees
84500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.37] z[1.04] mag[1.10] 5.64 degrees
85000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.02] y[0.36] z[1.08] mag[1.14] 10.05 degrees
85500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.00] y[0.36] z[1.05] mag[1.11] 6.86 degrees
86000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[-0.00] y[0.37] z[1.06] mag[1.12] 7.89 degrees
86500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.01] y[0.39] z[1.05] mag[1.12] 5.98 degrees
87000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.03] y[0.35] z[1.06] mag[1.12] 8.21 degrees
87500ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.04] y[0.39] z[1.07] mag[1.14] 8.17 degrees
88000ms, 0.00RPM, 0.03avgRPM, 0.00V MTR_DIS NOT BRAKINGx[0.05] y[0.37] z[1.08] mag[1.14] 9.61 degrees
