80000ms, 625.00RPM, 199.28avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.77] y[0.20] z[1.08] mag[1.34]88000ms, 560.00RPM, 237.87avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.65] y[0.19] z[1.09] mag[1.28]88500ms, 515.00RPM, 239.43avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.54] y[0.17] z[1.11] mag[1.25]89000ms, 470.00RPM, 240.73avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.41] y[0.25] z[1.07] mag[1.17]89500ms, 425.00RPM, 241.76avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.34] y[0.24] z[1.06] mag[1.14]90000ms, 380.00RPM, 242.53avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.21] y[0.28] z[1.05] mag[1.10]90500ms, 340.00RPM, 243.07avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.15] y[0.22] z[1.08] mag[1.12]91000ms, 300.00RPM, 243.38avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.10] y[0.24] z[1.06] mag[1.10]91500ms, 265.00RPM, 243.50avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.04] y[0.22] z[1.07] mag[1.09]92000ms, 230.00RPM, 243.42avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.05] y[0.28] z[1.06] mag[1.09]92500ms, 195.00RPM, 243.16avgRPM, 0.56V MTR_DIS NOT BRAKING
x[-0.03] y[0.27] z[1.05] mag[1.09]93000ms, 165.00RPM, 242.74avgRPM, 0.56V MTR_DIS NOT BRAKING
x[0.02] y[0.23] z[1.07] mag[1.09]93500ms, 135.00RPM, 242.17avgRPM, 0.56V MTR_DIS NOT BRAKING
x[0.03] y[0.26] z[1.05] mag[1.08]94000ms, 100.00RPM, 241.41avgRPM, 0.56V MTR_DIS NOT BRAKING
x[0.04] y[0.21] z[1.04] mag[1.06]94500ms, 75.00RPM, 240.53avgRPM, 0.56V MTR_DIS NOT BRAKING
x[0.01] y[0.27] z[1.06] mag[1.10]95000ms, 45.00RPM, 239.50avgRPM, 0.56V MTR_DIS NOT BRAKING
x[0.05] y[0.27] z[1.09] mag[1.12]95500ms, 20.00RPM, 238.35avgRPM, 0.56V MTR_DIS NOT BRAKING
x[0.06] y[0.22] z[1.04] mag[1.06]96000ms, 0.00RPM, 237.11avgRPM, 0.56V MTR_DIS NOT BRAKING
x[0.05] y[0.24] z[1.06] mag[1.09]96500ms, 260.00RPM, 237.23avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.10] y[-0.58] z[1.15] mag[1.29]97000ms, 340.00RPM, 237.76avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.18] y[-0.31] z[1.21] mag[1.27]97500ms, 480.00RPM, 239.00avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.51] y[0.14] z[1.05] mag[1.18]98000ms, 560.00RPM, 240.64avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.74] y[0.07] z[1.11] mag[1.34]98500ms, 605.00RPM, 242.49avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.81] y[0.04] z[1.16] mag[1.42]99000ms, 610.00RPM, 244.34avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.80] y[0.01] z[1.17] mag[1.42]99500ms, 610.00RPM, 246.18avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.84] y[0.12] z[1.10] mag[1.39]100000ms, 630.00RPM, 248.10avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.82] y[0.08] z[1.09] mag[1.37]100500ms, 630.00RPM, 250.00avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.86] y[0.12] z[1.10] mag[1.40]101000ms, 630.00RPM, 251.88avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.81] y[0.11] z[1.10] mag[1.37]101500ms, 610.00RPM, 253.65avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.87] y[0.10] z[1.09] mag[1.39]102000ms, 615.00RPM, 255.42avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.91] y[0.22] z[1.07] mag[1.42]102500ms, 625.00RPM, 257.22avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.89] y[0.10] z[1.12] mag[1.44]103000ms, 625.00RPM, 259.00avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.84] y[0.06] z[1.12] mag[1.40]103500ms, 640.00RPM, 260.85avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-0.84] y[0.10] z[1.09] mag[1.38]104000ms, 880.00RPM, 263.82avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-2.21] y[-0.25] z[1.24] mag[2.55]104500ms, 1075.00RPM, 267.70avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-3.25] y[-0.08] z[1.14] mag[3.45]105000ms, 1255.00RPM, 272.40avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-3.76] y[-0.31] z[1.24] mag[3.97]105500ms, 1270.00RPM, 277.13avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.23] y[-0.37] z[1.54] mag[4.52]106000ms, 1315.00RPM, 282.03avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.38] y[-0.32] z[1.34] mag[4.59]106500ms, 1335.00RPM, 286.97avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.52] y[0.10] z[1.17] mag[4.67]107000ms, 1385.00RPM, 292.10avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.54] y[-0.26] z[1.32] mag[4.74]107500ms, 1365.00RPM, 297.09avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.63] y[-0.03] z[1.31] mag[4.82]108000ms, 1385.00RPM, 302.13avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.65] y[-0.10] z[1.31] mag[4.83]108500ms, 1365.00RPM, 307.03avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.81] y[-0.03] z[1.37] mag[5.00]109000ms, 1415.00RPM, 312.11avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.89] y[0.05] z[1.27] mag[5.05]109500ms, 1380.00RPM, 316.99avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.88] y[-0.31] z[1.27] mag[5.05]110000ms, 1400.00RPM, 321.91avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-5.00] y[0.02] z[1.32] mag[5.17]110500ms, 1395.00RPM, 326.76avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.92] y[0.04] z[1.23] mag[5.07]111000ms, 1380.00RPM, 331.51avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.98] y[-0.07] z[1.26] mag[5.14]111500ms, 1405.00RPM, 336.32avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.94] y[-0.16] z[1.37] mag[5.13]112000ms, 1380.00RPM, 340.98avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.83] y[-0.19] z[1.31] mag[5.01]112500ms, 1405.00RPM, 345.71avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.79] y[0.08] z[1.27] mag[4.95]113000ms, 1395.00RPM, 350.35avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.96] y[0.01] z[1.35] mag[5.14]113500ms, 1410.00RPM, 355.02avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.83] y[-0.04] z[1.21] mag[4.98]114000ms, 1385.00RPM, 359.54avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.82] y[-0.08] z[1.23] mag[4.98]114500ms, 1370.00RPM, 363.95avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.83] y[-0.14] z[1.21] mag[4.98]115000ms, 1220.00RPM, 367.67avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-4.56] y[-0.04] z[1.15] mag[4.70]115500ms, 1255.00RPM, 371.52avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-3.89] y[-0.03] z[1.23] mag[4.08]116000ms, 1170.00RPM, 374.96avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-3.32] y[0.11] z[1.18] mag[3.53]116500ms, 1085.00RPM, 378.00avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-2.85] y[0.11] z[1.16] mag[3.08]117000ms, 1005.00RPM, 380.68avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-2.48] y[0.12] z[1.14] mag[2.73]117500ms, 940.00RPM, 383.06avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-2.04] y[0.17] z[1.14] mag[2.34]118000ms, 870.00RPM, 385.13avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-1.69] y[0.23] z[1.11] mag[2.03]118500ms, 800.00RPM, 386.88avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-1.48] y[0.27] z[1.09] mag[1.85]119000ms, 745.00RPM, 388.38avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-1.18] y[0.24] z[1.10] mag[1.63]119500ms, 685.00RPM, 389.62avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.98] y[0.22] z[1.10] mag[1.49]120000ms, 635.00RPM, 390.65avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.83] y[0.11] z[1.12] mag[1.40]120500ms, 575.00RPM, 391.41avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.71] y[0.25] z[1.09] mag[1.33]121000ms, 530.00RPM, 391.98avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.58] y[0.20] z[1.11] mag[1.27]121500ms, 480.00RPM, 392.35avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.39] y[0.20] z[1.07] mag[1.16]122000ms, 430.00RPM, 392.50avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.27] y[0.19] z[1.09] mag[1.14]122500ms, 390.00RPM, 392.49avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.20] y[0.26] z[1.06] mag[1.11]123000ms, 350.00RPM, 392.32avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.17] y[0.27] z[1.08] mag[1.12]123500ms, 305.00RPM, 391.96avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.14] y[0.28] z[1.05] mag[1.10]124000ms, 275.00RPM, 391.49avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.11] y[0.28] z[1.06] mag[1.10]124500ms, 235.00RPM, 390.86avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.06] y[0.20] z[1.06] mag[1.08]125000ms, 200.00RPM, 390.10avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.00] y[0.24] z[1.06] mag[1.09]125500ms, 165.00RPM, 389.20avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.02] y[0.23] z[1.06] mag[1.09]126000ms, 135.00RPM, 388.19avgRPM, 1.11V MTR_DIS NOT BRAKING
x[-0.00] y[0.20] z[1.07] mag[1.09]126500ms, 105.00RPM, 387.08avgRPM, 1.11V MTR_DIS NOT BRAKING
x[0.03] y[0.26] z[1.10] mag[1.13]127000ms, 75.00RPM, 385.85avgRPM, 1.11V MTR_DIS NOT BRAKING
x[0.05] y[0.24] z[1.07] mag[1.10]127500ms, 45.00RPM, 384.51avgRPM, 1.11V MTR_DIS NOT BRAKING
x[0.05] y[0.21] z[1.06] mag[1.09]128000ms, 10.00RPM, 383.05avgRPM, 1.11V MTR_DIS NOT BRAKING
x[0.07] y[0.17] z[1.09] mag[1.11]128500ms, 0.00RPM, 381.56avgRPM, 1.11V MTR_DIS NOT BRAKING
x[0.05] y[0.19] z[1.11] mag[1.12]129000ms, 0.00RPM, 380.08avgRPM, 1.11V MTR_DIS NOT BRAKING
x[0.07] y[0.21] z[1.09] mag[1.11]129500ms, 380.00RPM, 380.08avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-0.12] y[-1.28] z[1.17] mag[1.74]130000ms, 735.00RPM, 381.44avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-2.09] y[-0.61] z[1.35] mag[2.56]130500ms, 1075.00RPM, 384.10avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-2.90] y[0.11] z[1.13] mag[3.11]131000ms, 1165.00RPM, 387.08avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-3.67] y[-0.21] z[1.29] mag[3.90]131500ms, 1225.00RPM, 390.27avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-3.95] y[0.04] z[1.36] mag[4.18]132000ms, 1320.00RPM, 393.79avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.30] y[-0.11] z[1.30] mag[4.50]132500ms, 1335.00RPM, 397.34avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.44] y[0.17] z[1.19] mag[4.60]133000ms, 1355.00RPM, 400.94avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.47] y[-0.12] z[1.30] mag[4.66]133500ms, 1365.00RPM, 404.55avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.57] y[-0.14] z[1.29] mag[4.75]134000ms, 1370.00RPM, 408.15avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.59] y[-0.07] z[1.36] mag[4.79]134500ms, 1390.00RPM, 411.80avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.82] y[-0.04] z[1.26] mag[4.98]135000ms, 1405.00RPM, 415.48avgRPM, 1.11V MTR_ENA NOT BRAKING
x[-4.85] y[-0.11] z[1.36] mag[5.04]135500ms, 1445.00RPM, 419.28avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-5.89] y[-0.54] z[1.29] mag[6.05]136000ms, 1700.00RPM, 423.99avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-7.31] y[-0.64] z[1.44] mag[7.48]136500ms, 1825.00RPM, 429.12avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-8.05] y[-0.67] z[1.60] mag[8.24]137000ms, 1875.00RPM, 434.40avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-8.86] y[-0.24] z[1.61] mag[9.01]137500ms, 1885.00RPM, 439.67avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.02] y[-0.26] z[1.45] mag[9.14]138000ms, 1935.00RPM, 445.09avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.65] y[-0.64] z[1.65] mag[9.81]138500ms, 1950.00RPM, 450.52avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.59] y[-0.48] z[1.47] mag[9.71]139000ms, 1955.00RPM, 455.94avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.64] y[-0.46] z[1.59] mag[9.78]139500ms, 1985.00RPM, 461.42avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.72] y[-0.49] z[1.48] mag[9.84]140000ms, 1995.00RPM, 466.89avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.85] y[-0.45] z[1.57] mag[9.98]140500ms, 2030.00RPM, 472.46avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.91] y[-0.21] z[1.53] mag[10.03]141000ms, 1990.00RPM, 477.84avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.71] y[-0.69] z[1.73] mag[9.89]141500ms, 1965.00RPM, 483.09avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.89] y[-0.39] z[1.61] mag[10.03]142000ms, 1980.00RPM, 488.36avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.69] y[-0.38] z[1.61] mag[9.83]142500ms, 1985.00RPM, 493.61avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.82] y[-0.49] z[1.56] mag[9.95]143000ms, 1985.00RPM, 498.83avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-10.08] y[-0.53] z[1.52] mag[10.20]143500ms, 2000.00RPM, 504.06avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.94] y[-0.30] z[1.57] mag[10.07]144000ms, 2005.00RPM, 509.27avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.98] y[-0.18] z[1.47] mag[10.09]144500ms, 1995.00RPM, 514.41avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.98] y[-0.11] z[1.40] mag[10.07]145000ms, 1975.00RPM, 519.45avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.89] y[-0.20] z[1.39] mag[9.99]145500ms, 2030.00RPM, 524.64avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-10.08] y[-0.12] z[1.59] mag[10.20]146000ms, 2005.00RPM, 529.71avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.93] y[-0.62] z[1.54] mag[10.07]146500ms, 1970.00RPM, 534.62avgRPM, 1.67V MTR_ENA NOT BRAKING
x[-9.84] y[-0.36] z[1.38] mag[9.95]147000ms, 1975.00RPM, 539.52avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-9.92] y[-0.36] z[1.60] mag[10.05]147500ms, 1745.00RPM, 543.61avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-8.41] y[-0.17] z[1.46] mag[8.54]148000ms, 1745.00RPM, 547.67avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-7.21] y[0.03] z[1.33] mag[7.33]148500ms, 1615.00RPM, 551.26avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-6.34] y[-0.14] z[1.36] mag[6.48]149000ms, 1495.00RPM, 554.43avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-5.43] y[-0.13] z[1.29] mag[5.59]149500ms, 1390.00RPM, 557.22avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-4.74] y[0.02] z[1.27] mag[4.91]150000ms, 1285.00RPM, 559.65avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-4.08] y[0.16] z[1.24] mag[4.27]150500ms, 1200.00RPM, 561.78avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-3.53] y[0.11] z[1.17] mag[3.72]151000ms, 1120.00RPM, 563.63avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-2.99] y[-0.01] z[1.26] mag[3.24]151500ms, 1035.00RPM, 565.18avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-2.59] y[-0.08] z[1.27] mag[2.89]152000ms, 960.00RPM, 566.48avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-2.21] y[0.14] z[1.18] mag[2.51]152500ms, 900.00RPM, 567.57avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-1.81] y[0.07] z[1.18] mag[2.16]153000ms, 835.00RPM, 568.45avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-1.52] y[0.15] z[1.12] mag[1.90]153500ms, 770.00RPM, 569.10avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-1.28] y[0.20] z[1.15] mag[1.73]154000ms, 715.00RPM, 569.58avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-1.07] y[0.18] z[1.10] mag[1.55]154500ms, 660.00RPM, 569.87avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.94] y[0.15] z[1.13] mag[1.47]155000ms, 600.00RPM, 569.97avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.76] y[0.26] z[1.05] mag[1.32]155500ms, 555.00RPM, 569.92avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.66] y[0.22] z[1.11] mag[1.31]156000ms, 505.00RPM, 569.71avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.47] y[0.19] z[1.09] mag[1.20]156500ms, 460.00RPM, 569.36avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.34] y[0.25] z[1.06] mag[1.14]157000ms, 415.00RPM, 568.87avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.28] y[0.26] z[1.07] mag[1.14]157500ms, 375.00RPM, 568.25avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.20] y[0.31] z[1.06] mag[1.12]158000ms, 330.00RPM, 567.50avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.15] y[0.21] z[1.07] mag[1.10]158500ms, 295.00RPM, 566.64avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.11] y[0.23] z[1.07] mag[1.10]159000ms, 260.00RPM, 565.68avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.09] y[0.29] z[1.07] mag[1.11]159500ms, 220.00RPM, 564.59avgRPM, 1.67V MTR_DIS NOT BRAKING
x[-0.06] y[0.23] z[1.09] mag[1.11]160000ms, 180.00RPM, 563.39avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.00] y[0.22] z[1.06] mag[1.09]160500ms, 155.00RPM, 562.12avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.04] y[0.19] z[1.09] mag[1.10]161000ms, 115.00RPM, 560.73avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.04] y[0.21] z[1.05] mag[1.08]161500ms, 90.00RPM, 559.27avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.01] y[0.19] z[1.05] mag[1.06]162000ms, 60.00RPM, 557.73avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.05] y[0.27] z[1.05] mag[1.09]162500ms, 30.00RPM, 556.11avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.08] y[0.24] z[1.05] mag[1.08]163000ms, 10.00RPM, 554.43avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.07] y[0.18] z[1.07] mag[1.09]163500ms, 0.00RPM, 552.74avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.05] y[0.20] z[1.05] mag[1.07]164000ms, 0.00RPM, 551.05avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.07] y[0.21] z[1.07] mag[1.09]164500ms, 0.00RPM, 549.38avgRPM, 1.67V MTR_DIS NOT BRAKING
x[0.
