C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.08] y[0.18] z[1.06] mag[1.08]9000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.21] z[1.06] mag[1.09]9500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.18] z[1.05] mag[1.07]10000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.15] z[1.05] mag[1.07]10500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.15] z[1.09] mag[1.10]11000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.15] z[1.05] mag[1.07]11500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.20] z[1.07] mag[1.09]12000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.20] z[1.09] mag[1.11]12500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.19] z[1.07] mag[1.09]13000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.19] z[1.06] mag[1.08]13500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.05] y[0.20] z[1.05] mag[1.07]14000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.19] z[1.06] mag[1.08]14500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.21] z[1.09] mag[1.11]15000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.15] z[1.09] mag[1.10]15500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.05] y[0.16] z[1.09] mag[1.10]16000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.20] z[1.07] mag[1.09]16500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.18] z[1.05] mag[1.07]17000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.19] z[1.06] mag[1.08]17500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.03] y[0.19] z[1.07] mag[1.09]18000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.05] y[0.19] z[1.10] mag[1.12]18500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.09] y[0.20] z[1.05] mag[1.07]19000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.20] z[1.06] mag[1.08]19500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.19] z[1.07] mag[1.09]20000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.03] y[0.19] z[1.08] mag[1.10]20500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.20] z[1.06] mag[1.08]21000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.17] z[1.05] mag[1.06]21500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.05] y[0.24] z[1.08] mag[1.11]22000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.15] z[1.06] mag[1.07]22500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.11] y[0.17] z[1.06] mag[1.08]23000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.14] z[1.07] mag[1.08]23500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.17] z[1.07] mag[1.09]24000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.18] z[1.09] mag[1.10]24500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.14] z[1.07] mag[1.08]25000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.25] z[1.02] mag[1.06]25500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.18] z[1.08] mag[1.10]26000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.21] z[1.05] mag[1.07]26500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.16] z[1.05] mag[1.06]27000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.04] y[0.14] z[1.11] mag[1.12]27500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.07] y[0.21] z[1.07] mag[1.09]28000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.08] y[0.18] z[1.10] mag[1.12]28500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.21] z[1.07] mag[1.09]29000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.16] z[1.08] mag[1.10]29500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.06] y[0.18] z[1.07] mag[1.09]30000ms, 295.00RPM, 4.92avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.07] y[-0.21] z[1.03] mag[1.05]30500ms, 410.00RPM, 11.56avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.32] y[0.05] z[1.21] mag[1.26]31000ms, 545.00RPM, 20.16avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.61] y[-0.17] z[1.25] mag[1.40]31500ms, 610.00RPM, 29.52avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.82] y[0.13] z[1.14] mag[1.41]32000ms, 615.00RPM, 38.67avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.81] y[0.08] z[1.15] mag[1.41]32500ms, 635.00RPM, 47.85avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.90] y[0.08] z[1.12] mag[1.44]33000ms, 650.00RPM, 56.97avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.83] y[0.14] z[1.13] mag[1.41]33500ms, 650.00RPM, 65.82avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.85] y[0.02] z[1.16] mag[1.44]34000ms, 685.00RPM, 74.93avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.90] y[0.07] z[1.16] mag[1.47]34500ms, 665.00RPM, 83.48avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.93] y[0.06] z[1.14] mag[1.47]35000ms, 665.00RPM, 91.79avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.94] y[0.03] z[1.17] mag[1.50]35500ms, 685.00RPM, 100.14avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.86] y[0.09] z[1.13] mag[1.43]36000ms, 660.00RPM, 107.92avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-1.00] y[0.17] z[1.10] mag[1.50]36500ms, 645.00RPM, 115.27avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.94] y[0.24] z[1.16] mag[1.51]37000ms, 645.00RPM, 122.43avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.90] y[0.23] z[1.07] mag[1.42]37500ms, 650.00RPM, 129.47avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.98] y[0.11] z[1.07] mag[1.46]38000ms, 660.00RPM, 136.45avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.90] y[0.11] z[1.14] mag[1.45]38500ms, 660.00RPM, 143.25avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.92] y[0.11] z[1.13] mag[1.46]39000ms, 650.00RPM, 149.74avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.96] y[0.20] z[1.09] mag[1.46]39500ms, 680.00RPM, 156.46avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.98] y[0.18] z[1.08] mag[1.47]40000ms, 650.00RPM, 162.62avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.97] y[0.06] z[1.14] mag[1.50]40500ms, 680.00RPM, 169.01avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.92] y[0.13] z[1.13] mag[1.46]41000ms, 685.00RPM, 175.30avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.97] y[0.30] z[1.04] mag[1.45]41500ms, 650.00RPM, 181.02avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.93] y[0.10] z[1.15] mag[1.48]42000ms, 640.00RPM, 186.49avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.97] y[0.14] z[1.11] mag[1.48]42500ms, 670.00RPM, 192.18avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.92] y[0.05] z[1.15] mag[1.47]43000ms, 665.00RPM, 197.67avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.93] y[0.11] z[1.13] mag[1.47]43500ms, 650.00RPM, 202.87avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.95] y[0.02] z[1.14] mag[1.48]44000ms, 650.00RPM, 207.95avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.92] y[0.12] z[1.13] mag[1.46]44500ms, 705.00RPM, 213.54avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.93] y[0.08] z[1.08] mag[1.43]45000ms, 660.00RPM, 218.50avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.92] y[0.22] z[1.12] mag[1.47]45500ms, 660.00RPM, 223.35avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.94] y[0.15] z[1.14] mag[1.49]46000ms, 660.00RPM, 228.10avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.95] y[0.11] z[1.09] mag[1.45]46500ms, 650.00RPM, 232.63avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.98] y[0.13] z[1.09] mag[1.47]47000ms, 665.00RPM, 237.23avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.93] y[0.12] z[1.11] mag[1.45]47500ms, 680.00RPM, 241.89avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.92] y[0.03] z[1.15] mag[1.47]48000ms, 445.00RPM, 244.01avgRPM, 0.56V MTR_DIS YES BRAKING
x[-0.45] y[1.25] z[1.73] mag[2.18]48500ms, 295.00RPM, 244.54avgRPM, 0.56V MTR_DIS YES BRAKING
x[-0.06] y[0.54] z[1.06] mag[1.19]49000ms, 40.00RPM, 242.45avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.06] y[0.08] z[1.07] mag[1.08]49500ms, 0.00RPM, 240.00avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.24] z[1.07] mag[1.10]50000ms, 0.00RPM, 237.60avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.08] y[0.26] z[1.07] mag[1.11]50500ms, 0.00RPM, 235.25avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.04] y[0.18] z[1.05] mag[1.07]51000ms, 0.00RPM, 232.94avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.04] y[0.19] z[1.06] mag[1.08]51500ms, 0.00RPM, 230.68avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.06] y[0.21] z[1.04] mag[1.07]52000ms, 0.00RPM, 228.46avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.20] z[1.07] mag[1.09]52500ms, 0.00RPM, 226.29avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.03] y[0.22] z[1.05] mag[1.08]53000ms, 0.00RPM, 224.15avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.23] z[1.06] mag[1.09]53500ms, 0.00RPM, 222.06avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.25] z[1.07] mag[1.10]54000ms, 0.00RPM, 220.00avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.24] z[1.06] mag[1.09]54500ms, 0.00RPM, 217.98avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.08] y[0.20] z[1.07] mag[1.09]55000ms, 0.00RPM, 216.00avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.03] y[0.25] z[1.09] mag[1.12]55500ms, 0.00RPM, 214.05avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.04] y[0.22] z[1.05] mag[1.07]56000ms, 0.00RPM, 212.14avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.24] z[1.05] mag[1.08]56500ms, 0.00RPM, 210.27avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.04] y[0.23] z[1.06] mag[1.09]57000ms, 0.00RPM, 208.42avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.25] z[1.06] mag[1.09]57500ms, 0.00RPM, 206.61avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.03] y[0.22] z[1.04] mag[1.07]58000ms, 0.00RPM, 204.83avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.03] y[0.20] z[1.07] mag[1.09]58500ms, 0.00RPM, 203.08avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.04] y[0.24] z[1.04] mag[1.07]59000ms, 0.00RPM, 201.36avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.06] y[0.25] z[1.05] mag[1.08]59500ms, 0.00RPM, 199.66avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.07] y[0.22] z[1.06] mag[1.08]60000ms, 0.00RPM, 198.00avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.03] y[0.24] z[1.05] mag[1.08]60500ms, 0.00RPM, 196.36avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.04] y[0.21] z[1.05] mag[1.07]61000ms, 0.00RPM, 194.75avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.09] y[0.20] z[1.06] mag[1.09]61500ms, 0.00RPM, 193.17avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.07] y[0.21] z[1.07] mag[1.09]62000ms, 0.00RPM, 191.61avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.06] y[0.21] z[1.08] mag[1.10]62500ms, 0.00RPM, 190.08avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.06] y[0.24] z[1.05] mag[1.08]63000ms, 0.00RPM, 188.57avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.07] y[0.20] z[1.05] mag[1.08]63500ms, 0.00RPM, 187.09avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.06] y[0.25] z[1.06] mag[1.09]64000ms, 0.00RPM, 185.62avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.03] y[0.22] z[1.06] mag[1.08]64500ms, 0.00RPM, 184.19avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.21] z[1.07] mag[1.09]65000ms, 0.00RPM, 182.77avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.07] y[0.22] z[1.07] mag[1.10]65500ms, 0.00RPM, 181.37avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.04] y[0.21] z[1.07] mag[1.09]66000ms, 0.00RPM, 180.00avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.24] z[1.03] mag[1.06]66500ms, 0.00RPM, 178.65avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.10] y[0.26] z[1.12] mag[1.16]67000ms, 0.00RPM, 177.31avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.20] z[1.05] mag[1.07]67500ms, 0.00RPM, 176.00avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.03] y[0.19] z[1.07] mag[1.08]68000ms, 0.00RPM, 174.71avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.21] z[1.04] mag[1.07]68500ms, 0.00RPM, 173.43avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.10] y[0.25] z[1.04] mag[1.08]69000ms, 0.00RPM, 172.17avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.19] z[1.06] mag[1.08]69500ms, 0.00RPM, 170.94avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.00] y[0.26] z[1.06] mag[1.09]70000ms, 0.00RPM, 169.71avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.02] y[0.16] z[1.07] mag[1.08]70500ms, 0.00RPM, 168.51avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.10] y[0.22] z[1.08] mag[1.11]71000ms, 0.00RPM, 167.32avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.06] y[0.21] z[1.05] mag[1.07]71500ms, 0.00RPM, 166.15avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.22] z[1.07] mag[1.09]72000ms, 0.00RPM, 165.00avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.04] y[0.24] z[1.06] mag[1.09]72500ms, 0.00RPM, 163.86avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.19] z[1.08] mag[1.09]73000ms, 0.00RPM, 162.74avgRPM, 0.56V MTR_DIS YES BRAKING
x[0.05] y[0.22] z[1.07] mag[1.10]
