C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.05] y[0.35] z[1.05] mag[1.11] 7.35 degrees
14000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.03] mag[1.10] 6.70 degrees
14500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.00] y[0.40] z[1.04] mag[1.11] 7.85 degrees
15000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.05] mag[1.12] 8.83 degrees
15500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.04] mag[1.10] 7.33 degrees
16000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.36] z[1.04] mag[1.10] 7.29 degrees
16500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.37] z[1.04] mag[1.11] 7.32 degrees
17000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.04] mag[1.11] 7.49 degrees
17500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.06] mag[1.12] 8.70 degrees
18000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.39] z[1.05] mag[1.13] 8.17 degrees
18500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.36] z[1.07] mag[1.13] 10.10 degrees
19000ms, 5.00RPM, 0.13avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.36] z[1.04] mag[1.10] 7.00 degrees
19500ms, 765.00RPM, 19.74avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.37] z[1.02] mag[1.09] 5.00 degrees
20000ms, 0.00RPM, 19.25avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.39] z[1.06] mag[1.14] 9.18 degrees
20500ms, 0.00RPM, 18.78avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.04] mag[1.11] 7.56 degrees
21000ms, 0.00RPM, 18.33avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.36] z[1.03] mag[1.10] 6.19 degrees
21500ms, 0.00RPM, 17.91avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.04] mag[1.10] 7.64 degrees
22000ms, 0.00RPM, 17.50avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.05] y[0.39] z[1.04] mag[1.11] 6.64 degrees
22500ms, 0.00RPM, 17.11avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.04] mag[1.10] 6.54 degrees
23000ms, 0.00RPM, 16.74avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.35] z[1.09] mag[1.15] 11.83 degrees
23500ms, 0.00RPM, 16.38avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.37] z[1.04] mag[1.10] 7.30 degrees
24000ms, 0.00RPM, 16.04avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.06] mag[1.12] 9.71 degrees
24500ms, 0.00RPM, 15.71avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.39] z[1.04] mag[1.11] 6.57 degrees
25000ms, 0.00RPM, 15.40avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.05] mag[1.11] 8.57 degrees
25500ms, 0.00RPM, 15.10avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.38] z[1.05] mag[1.11] 7.57 degrees
26000ms, 0.00RPM, 14.81avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.34] z[1.03] mag[1.08] 5.49 degrees
26500ms, 335.00RPM, 20.85avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.28] y[0.24] z[0.99] mag[1.06] 14.08 degrees
27000ms, 325.00RPM, 26.48avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.17] y[0.16] z[0.98] mag[1.01] nan degrees
27500ms, 325.00RPM, 31.91avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.51] z[1.02] mag[1.14] 4.25 degrees
28000ms, 380.00RPM, 38.13avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.06] y[0.37] z[1.27] mag[1.33] 19.17 degrees
28500ms, 420.00RPM, 44.82avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.05] y[0.39] z[1.08] mag[1.15] 12.38 degrees
29000ms, 450.00RPM, 51.81avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.45] z[1.10] mag[1.18] 11.14 degrees
29500ms, 500.00RPM, 59.41avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.40] z[1.20] mag[1.27] 15.56 degrees
30000ms, 510.00RPM, 66.92avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.01] y[0.41] z[1.23] mag[1.30] 17.24 degrees
30500ms, 515.00RPM, 74.26avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.16] y[0.46] z[1.26] mag[1.35] 14.71 degrees
31000ms, 520.00RPM, 81.45avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.08] y[0.46] z[1.24] mag[1.32] 18.70 degrees
31500ms, 580.00RPM, 89.37avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.48] z[1.25] mag[1.34] 17.07 degrees
32000ms, 550.00RPM, 96.56avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.42] z[1.37] mag[1.43] 19.27 degrees
32500ms, 580.00RPM, 104.00avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.48] z[1.35] mag[1.43] 19.36 degrees
33000ms, 555.00RPM, 110.83avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.43] z[1.36] mag[1.42] 19.57 degrees
33500ms, 595.00RPM, 118.06avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.42] z[1.41] mag[1.48] 19.78 degrees
34000ms, 585.00RPM, 124.93avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.09] y[0.52] z[1.31] mag[1.41] 17.41 degrees
34500ms, 590.00RPM, 131.67avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.45] z[1.37] mag[1.45] 18.76 degrees
35000ms, 605.00RPM, 138.43avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.44] z[1.42] mag[1.48] 20.55 degrees
35500ms, 575.00RPM, 144.58avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.48] z[1.36] mag[1.44] 19.08 degrees
36000ms, 585.00RPM, 150.69avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.46] z[1.40] mag[1.48] 19.94 degrees
36500ms, 600.00RPM, 156.85avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.46] z[1.38] mag[1.45] 19.67 degrees
37000ms, 605.00RPM, 162.91avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.41] z[1.45] mag[1.51] 21.15 degrees
37500ms, 585.00RPM, 168.53avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.47] z[1.44] mag[1.52] 20.50 degrees
38000ms, 590.00RPM, 174.08avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.48] z[1.40] mag[1.48] 19.94 degrees
38500ms, 620.00RPM, 179.87avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.00] y[0.47] z[1.42] mag[1.49] 20.73 degrees
39000ms, 620.00RPM, 185.51avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.48] z[1.53] mag[1.60] 21.84 degrees
39500ms, 610.00RPM, 190.89avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.47] z[1.43] mag[1.51] 20.47 degrees
40000ms, 590.00RPM, 195.88avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.01] y[0.43] z[1.48] mag[1.54] 21.77 degrees
40500ms, 610.00RPM, 200.99avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.46] z[1.44] mag[1.52] 20.73 degrees
41000ms, 595.00RPM, 205.79avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.46] z[1.45] mag[1.52] 20.87 degrees
41500ms, 625.00RPM, 210.84avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.50] z[1.47] mag[1.55] 20.90 degrees
42000ms, 595.00RPM, 215.42avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.48] z[1.52] mag[1.59] 21.59 degrees
42500ms, 610.00RPM, 220.06avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.46] z[1.37] mag[1.45] 18.87 degrees
43000ms, 595.00RPM, 224.42avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.46] z[1.44] mag[1.51] 20.50 degrees
43500ms, 615.00RPM, 228.91avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.46] z[1.45] mag[1.53] 20.50 degrees
44000ms, 595.00RPM, 233.07avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.09] y[0.48] z[1.42] mag[1.50] 19.41 degrees
44500ms, 610.00RPM, 237.30avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.10] y[0.45] z[1.48] mag[1.55] 20.29 degrees
45000ms, 590.00RPM, 241.22avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.02] y[0.45] z[1.46] mag[1.52] 21.63 degrees
45500ms, 605.00RPM, 245.22avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.42] z[1.42] mag[1.48] 19.96 degrees
46000ms, 595.00RPM, 249.02avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.44] z[1.44] mag[1.51] 20.73 degrees
46500ms, 620.00RPM, 253.01avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.43] z[1.49] mag[1.55] 20.89 degrees
47000ms, 595.00RPM, 256.65avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.47] z[1.44] mag[1.51] 20.87 degrees
47500ms, 615.00RPM, 260.42avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.48] z[1.42] mag[1.50] 20.49 degrees
48000ms, 610.00RPM, 264.06avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.47] z[1.46] mag[1.53] 20.50 degrees
48500ms, 590.00RPM, 267.42avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.48] z[1.50] mag[1.57] 21.51 degrees
49000ms, 615.00RPM, 270.97avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.02] y[0.45] z[1.46] mag[1.53] 21.71 degrees
49500ms, 620.00RPM, 274.49avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.00] y[0.50] z[1.52] mag[1.60] 22.08 degrees
50000ms, 625.00RPM, 278.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.46] z[1.54] mag[1.60] 22.37 degrees
50500ms, 425.00RPM, 279.46avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.18] y[0.27] z[1.22] mag[1.26] 13.43 degrees
51000ms, 475.00RPM, 281.37avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.21] y[0.37] z[1.19] mag[1.27] 11.97 degrees
51500ms, 390.00RPM, 282.43avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.21] y[0.32] z[1.09] mag[1.16] 7.57 degrees
52000ms, 300.00RPM, 282.60avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.17] y[0.33] z[1.07] mag[1.13] 6.70 degrees
52500ms, 200.00RPM, 281.81avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.14] y[0.40] z[1.21] mag[1.28] 13.43 degrees
53000ms, 105.00RPM, 280.14avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.16] y[0.36] z[1.04] mag[1.11] 4.89 degrees
53500ms, 15.00RPM, 277.66avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.34] z[1.07] mag[1.12] 10.26 degrees
54000ms, 0.00RPM, 275.09avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.36] z[1.05] mag[1.11] 9.35 degrees
54500ms, 0.00RPM, 272.57avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.32] z[1.05] mag[1.09] 8.10 degrees
55000ms, 0.00RPM, 270.09avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.29] z[1.03] mag[1.07] 5.91 degrees
55500ms, 0.00RPM, 267.66avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.35] z[1.03] mag[1.09] 7.49 degrees
56000ms, 0.00RPM, 265.27avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.35] z[1.05] mag[1.10] 7.57 degrees
56500ms, 0.00RPM, 262.92avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.32] z[1.06] mag[1.11] 9.32 degrees
57000ms, 0.00RPM, 260.61avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.00] y[0.37] z[1.07] mag[1.13] 10.18 degrees
57500ms, 0.00RPM, 258.35avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.37] z[1.05] mag[1.11] 8.52 degrees
58000ms, 0.00RPM, 256.12avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.05] mag[1.11] 8.34 degrees
58500ms, 0.00RPM, 253.93avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.34] z[1.04] mag[1.10] 7.88 degrees
59000ms, 0.00RPM, 251.78avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.32] z[1.05] mag[1.10] 8.84 degrees
59500ms, 0.00RPM, 249.66avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.35] z[1.02] mag[1.08] 5.47 degrees
60000ms, 0.00RPM, 247.58avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.38] z[1.07] mag[1.14] 9.58 degrees
60500ms, 0.00RPM, 245.54avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.35] z[1.05] mag[1.11] 8.49 degrees
61000ms, 0.00RPM, 243.52avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.31] z[1.06] mag[1.10] 9.14 degrees
61500ms, 0.00RPM, 241.54avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.06] mag[1.12] 8.80 degrees
62000ms, 0.00RPM, 239.60avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.02] y[0.33] z[1.05] mag[1.10] 8.92 degrees
62500ms, 0.00RPM, 237.68avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.34] z[1.06] mag[1.11] 9.38 degrees
63000ms, 0.00RPM, 235.79avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.32] z[1.05] mag[1.10] 8.50 degrees
63500ms, 0.00RPM, 233.94avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.27] z[1.08] mag[1.12] 10.74 degrees
64000ms, 0.00RPM, 232.11avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.31] z[1.06] mag[1.11] 9.52 degrees
64500ms, 0.00RPM, 230.31avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.34] z[1.04] mag[1.10] 8.16 degrees
65000ms, 0.00RPM, 228.54avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.34] z[1.06] mag[1.11] 9.33 degrees
65500ms, 0.00RPM, 226.79avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.33] z[1.10] mag[1.15] 11.55 degrees
66000ms, 0.00RPM, 225.08avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.31] z[1.06] mag[1.10] 8.46 degrees
66500ms, 0.00RPM, 223.38avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.00] y[0.34] z[1.03] mag[1.08] 6.85 degrees
67000ms, 0.00RPM, 221.72avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.32] z[1.07] mag[1.12] 9.64 degrees
67500ms, 0.00RPM, 220.07avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.34] z[1.03] mag[1.09] 7.22 degrees
68000ms, 0.00RPM, 218.46avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.35] z[1.06] mag[1.12] 9.81 degrees
68500ms, 0.00RPM, 216.86avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.32] z[1.03] mag[1.08] 7.28 degrees
69000ms, 0.00RPM, 215.29avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.32] z[1.05] mag[1.10] 8.68 degrees
69500ms, 0.00RPM, 213.74avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.07] mag[1.13] 10.27 degrees
70000ms, 0.00RPM, 212.21avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.04] mag[1.11] 7.61 degrees
70500ms, 0.00RPM, 210.71avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.05] mag[1.10] 8.25 degrees
71000ms, 0.00RPM, 209.23avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.33] z[1.07] mag[1.12] 10.37 degrees
71500ms, 0.00RPM, 207.76avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.04] mag[1.11] 7.88 degrees
72000ms, 0.00RPM, 206.32avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.36] z[1.05] mag[1.12] 8.64 degrees
72500ms, 0.00RPM, 204.90avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.36] z[1.04] mag[1.10] 7.67 degrees
73000ms, 0.00RPM, 203.49avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.32] z[1.04] mag[1.09] 8.54 degrees
73500ms, 0.00RPM, 202.11avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.31] z[1.04] mag[1.08] 6.91 degrees
74000ms, 0.00RPM, 200.74avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.05] mag[1.11] 8.06 degrees
74500ms, 0.00RPM, 199.40avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.35] z[1.06] mag[1.12] 9.62 degrees
75000ms, 0.00RPM, 198.07avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.35] z[1.04] mag[1.09] 6.86 degrees
75500ms, 0.00RPM, 196.75avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.34] z[1.07] mag[1.12] 10.00 degrees
76000ms, 0.00RPM, 195.46avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.33] z[1.04] mag[1.10] 8.32 degrees
76500ms, 0.00RPM, 194.18avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.31] z[1.04] mag[1.09] 8.14 degrees
77000ms, 0.00RPM, 192.92avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.33] z[1.04] mag[1.10] 7.93 degrees
77500ms, 0.00RPM, 191.68avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.35] z[1.08] mag[1.13] 9.93 degrees
78000ms, 0.00RPM, 190.45avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.36] z[1.07] mag[1.13] 10.00 degrees
78500ms, 0.00RPM, 189.24avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.32] z[1.06] mag[1.11] 8.99 degrees
79000ms, 0.00RPM, 188.04avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.31] z[1.06] mag[1.11] 9.53 degrees
79500ms, 0.00RPM, 186.86avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.02] y[0.33] z[1.05] mag[1.10] 9.25 degrees
80000ms, 0.00RPM, 185.69avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.05] mag[1.11] 8.34 degrees
80500ms, 0.00RPM, 184.53avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.32] z[1.06] mag[1.10] 8.94 degrees
81000ms, 0.00RPM, 183.40avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.05] mag[1.11] 8.84 degrees
81500ms, 0.00RPM, 182.27avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.36] z[1.04] mag[1.10] 7.53 degrees
82000ms, 0.00RPM, 181.16avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.02] y[0.33] z[1.04] mag[1.10] 8.76 degrees
82500ms, 0.00RPM, 180.06avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.36] z[1.06] mag[1.12] 8.84 degrees
83000ms, 0.00RPM, 178.98avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.35] z[1.04] mag[1.10] 7.43 degrees
83500ms, 0.00RPM, 177.90avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.01] y[0.36] z[1.06] mag[1.12] 9.60 degrees
84000ms, 0.00RPM, 176.85avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.34] z[1.05] mag[1.10] 8.25 degrees
84500ms, 0.00RPM, 175.80avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.34] z[1.06] mag[1.11] 9.24 degrees
85000ms, 0.00RPM, 174.76avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.34] z[1.05] mag[1.11] 8.00 degrees
85500ms, 0.00RPM, 173.74avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.34] z[1.03] mag[1.09] 6.81 degrees
86000ms, 0.00RPM, 172.73avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.34] z[1.07] mag[1.12] 9.79 degrees
86500ms, 0.00RPM, 171.73avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.00] y[0.35] z[1.03] mag[1.09] 7.22 degrees
87000ms, 0.00RPM, 170.75avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.12] mag[1.18] 12.65 degrees
87500ms, 0.00RPM, 169.77avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.37] z[1.04] mag[1.10] 7.06 degrees
88000ms, 0.00RPM, 168.81avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.00] y[0.21] z[1.05] mag[1.07] 8.93 degrees
88500ms, 0.00RPM, 167.85avgRPM, 0.56V MTR_DIS YES BRAKINGx[-0.02] y[0.33] z[1.04] mag[1.09] 8.21 degrees
