C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.35] z[1.01] mag[1.07] 3.46 degrees
10000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.05] mag[1.11] 7.95 degrees
10500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.00] y[0.34] z[1.10] mag[1.15] 11.84 degrees
11000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.04] mag[1.10] 7.29 degrees
11500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.03] mag[1.10] 6.61 degrees
12000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.07] mag[1.13] 9.31 degrees
12500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.04] mag[1.11] 7.64 degrees
13000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.37] z[1.05] mag[1.11] 8.14 degrees
13500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.05] mag[1.11] 8.46 degrees
14000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.04] mag[1.10] 7.01 degrees
14500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.02] y[0.37] z[1.07] mag[1.13] 10.90 degrees
15000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.33] z[1.05] mag[1.10] 7.90 degrees
15500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.05] y[0.36] z[1.03] mag[1.09] 5.55 degrees
16000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.06] y[0.38] z[1.05] mag[1.12] 7.04 degrees
16500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.34] z[1.04] mag[1.10] 7.66 degrees
17000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.40] z[1.06] mag[1.14] 8.86 degrees
17500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.39] z[1.04] mag[1.11] 6.91 degrees
18000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.06] mag[1.12] 8.99 degrees
18500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.38] z[1.06] mag[1.13] 8.67 degrees
19000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.36] z[1.05] mag[1.11] 8.68 degrees
19500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.38] z[1.06] mag[1.12] 8.65 degrees
20000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.07] y[0.37] z[1.07] mag[1.13] 8.39 degrees
20500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.04] mag[1.10] 7.00 degrees
21000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.41] z[1.02] mag[1.10] 5.58 degrees
21500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.07] mag[1.14] 9.68 degrees
22000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.39] z[1.04] mag[1.11] 7.27 degrees
22500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.34] z[1.05] mag[1.10] 7.67 degrees
23000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.38] z[1.03] mag[1.10] 6.28 degrees
23500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.06] y[0.38] z[1.06] mag[1.13] 7.94 degrees
24000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.06] y[0.37] z[1.08] mag[1.14] 9.30 degrees
24500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.05] y[0.35] z[1.06] mag[1.12] 8.25 degrees
25000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.37] z[1.05] mag[1.11] 7.67 degrees
25500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.05] y[0.36] z[1.04] mag[1.10] 6.59 degrees
26000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.04] mag[1.11] 7.43 degrees
26500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.01] y[0.37] z[1.04] mag[1.10] 7.77 degrees
27000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.36] z[1.05] mag[1.12] 8.79 degrees
27500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.41] z[1.06] mag[1.14] 8.67 degrees
28000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.04] mag[1.11] 7.14 degrees
28500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.36] z[1.05] mag[1.11] 7.77 degrees
29000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.38] z[1.04] mag[1.11] 7.05 degrees
29500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.37] z[1.04] mag[1.11] 7.67 degrees
30000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.03] mag[1.10] 6.10 degrees
30500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.07] mag[1.13] 9.04 degrees
31000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.35] z[1.07] mag[1.12] 9.69 degrees
31500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.04] mag[1.10] 7.00 degrees
32000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.35] z[1.04] mag[1.10] 7.38 degrees
32500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.36] z[1.04] mag[1.10] 7.66 degrees
33000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.35] z[1.04] mag[1.10] 7.73 degrees
33500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.05] mag[1.11] 8.23 degrees
34000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.05] mag[1.11] 7.69 degrees
34500ms, 15.00RPM, 0.22avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.04] mag[1.10] 6.96 degrees
35000ms, 5.00RPM, 0.29avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.37] z[1.04] mag[1.11] 7.27 degrees
35500ms, 10.00RPM, 0.42avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.39] z[1.05] mag[1.12] 7.56 degrees
36000ms, 0.00RPM, 0.42avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.05] mag[1.11] 8.12 degrees
36500ms, 0.00RPM, 0.41avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.34] z[1.04] mag[1.10] 7.05 degrees
37000ms, 0.00RPM, 0.41avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.37] z[1.06] mag[1.13] 9.04 degrees
37500ms, 0.00RPM, 0.40avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.06] y[0.29] z[1.07] mag[1.11] 9.00 degrees
38000ms, 0.00RPM, 0.39avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.35] z[1.05] mag[1.11] 7.57 degrees
