C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


x[0.00] y[0.00] z[0.00] mag[0.00] 1018ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 9001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 9501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 10001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 10501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 11001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 11501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 12001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 12502ms, 275.00RPM, 11.00avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 13001ms, 305.00RPM, 22.31avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 13501ms, 325.00RPM, 33.52avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 14001ms, 350.00RPM, 44.82avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 14501ms, 390.00RPM, 56.72avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 15001ms, 455.00RPM, 70.00avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 15501ms, 505.00RPM, 84.03avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 16001ms, 520.00RPM, 97.66avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 16501ms, 530.00RPM, 110.76avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 17001ms, 580.00RPM, 124.56avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 17501ms, 570.00RPM, 137.29avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 18001ms, 580.00RPM, 149.58avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 18501ms, 630.00RPM, 162.57avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 19001ms, 585.00RPM, 173.68avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 19501ms, 605.00RPM, 184.74avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 20001ms, 590.00RPM, 194.88avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 20501ms, 590.00RPM, 204.51avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 21001ms, 590.00RPM, 213.69avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 21501ms, 600.00RPM, 222.67avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 22001ms, 595.00RPM, 231.14avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 22501ms, 630.00RPM, 240.00avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 23001ms, 610.00RPM, 248.04avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 23501ms, 620.00RPM, 255.96avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 24001ms, 610.00RPM, 263.33avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 24501ms, 630.00RPM, 270.82avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 25001ms, 635.00RPM, 278.10avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 25501ms, 635.00RPM, 285.10avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 26001ms, 635.00RPM, 291.83avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 26501ms, 625.00RPM, 298.11avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 27001ms, 625.00RPM, 304.17avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 27501ms, 615.00RPM, 309.82avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 28001ms, 610.00RPM, 315.18avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 28502ms, 615.00RPM, 320.44avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 29001ms, 630.00RPM, 325.78avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 29501ms, 615.00RPM, 330.68avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 30001ms, 625.00RPM, 335.58avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 30501ms, 620.00RPM, 340.25avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 31001ms, 630.00RPM, 344.92avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 31501ms, 650.00RPM, 349.76avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 32001ms, 630.00RPM, 354.14avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 32501ms, 630.00RPM, 358.38avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 33001ms, 610.00RPM, 362.20avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 33501ms, 735.00RPM, 367.76avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 34001ms, 820.00RPM, 374.41avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 34501ms, 880.00RPM, 381.74avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 35001ms, 965.00RPM, 390.07avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 35501ms, 1030.00RPM, 399.08avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 36001ms, 1080.00RPM, 408.54avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 36501ms, 1075.00RPM, 417.67avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 37001ms, 1120.00RPM, 427.16avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 37501ms, 1155.00RPM, 436.87avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 38001ms, 1160.00RPM, 446.38avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 38501ms, 1180.00RPM, 455.91avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 39001ms, 1200.00RPM, 465.45avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 39501ms, 1220.00RPM, 475.00avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 40001ms, 1240.00RPM, 484.56avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 40501ms, 1230.00RPM, 493.77avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 41001ms, 1220.00RPM, 502.62avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 41501ms, 1255.00RPM, 511.69avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 42001ms, 1290.00RPM, 520.95avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 42501ms, 1270.00RPM, 529.76avgRPM, 1.11V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 43001ms, 1340.00RPM, 539.19avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 43501ms, 1410.00RPM, 549.20avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 44001ms, 1510.00RPM, 560.11avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 44502ms, 1520.00RPM, 570.90avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 45001ms, 1560.00RPM, 581.89avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 45501ms, 1640.00RPM, 593.52avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 46001ms, 1670.00RPM, 605.22avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 46501ms, 1685.00RPM, 616.83avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 47001ms, 1730.00RPM, 628.67avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 47501ms, 1690.00RPM, 639.84avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 48001ms, 1715.00RPM, 651.04avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 48501ms, 1710.00RPM, 661.96avgRPM, 1.67V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 49001ms, 1780.00RPM, 673.37avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 49501ms, 1865.00RPM, 685.40avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 50001ms, 1910.00RPM, 697.65avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 50501ms, 1950.00RPM, 710.05avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 51001ms, 1975.00RPM, 722.45avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 51501ms, 2050.00RPM, 735.34avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 52001ms, 2040.00RPM, 747.88avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 52501ms, 2085.00RPM, 760.62avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 53001ms, 2110.00RPM, 773.35avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 53501ms, 2140.00RPM, 786.12avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 54001ms, 2180.00RPM, 799.03avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 54501ms, 2160.00RPM, 811.51avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 55001ms, 2150.00RPM, 823.68avgRPM, 2.22V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 55501ms, 2195.00RPM, 836.04avgRPM, 2.78V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 56001ms, 2280.00RPM, 848.93avgRPM, 2.78V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 56501ms, 2325.00RPM, 861.99avgRPM, 2.78V MTR_ENA NOT BRAKING
